t_s,ax,ay,az
0.0000,0.0000,0.0000,1.0114
0.0050,0.0000,0.0000,1.1505
0.0100,0.0000,0.0000,0.8892
0.0150,0.0000,0.0000,1.1205
0.0200,0.0000,0.0000,0.9708
0.0250,0.0000,0.0000,0.9710
0.0300,0.0000,0.0000,1.2308
0.0350,0.0000,0.0000,1.0222
0.0400,0.0000,0.0000,0.9986
0.0450,0.0000,0.0000,1.0918
0.0500,0.0000,0.0000,1.1399
0.0550,0.0000,0.0000,1.0015
0.0600,0.0000,0.0000,1.0762
0.0650,0.0000,0.0000,0.8893
0.0700,0.0000,0.0000,0.9626
0.0750,0.0000,0.0000,0.9545
0.0800,0.0000,0.0000,0.8476
0.0850,0.0000,0.0000,0.8270
0.0900,0.0000,0.0000,0.8132
0.0950,0.0000,0.0000,0.9803
0.1000,0.0000,0.0000,0.9887
0.1050,0.0000,0.0000,0.9714
0.1100,0.0000,0.0000,1.0186
0.1150,0.0000,0.0000,0.8505
0.1200,0.0000,0.0000,1.0017
0.1250,0.0000,0.0000,1.0402
0.1300,0.0000,0.0000,1.1023
0.1350,0.0000,0.0000,0.9110
0.1400,0.0000,0.0000,0.9651
0.1450,0.0000,0.0000,0.7717
0.1500,0.0000,0.0000,0.9535
0.1550,0.0000,0.0000,0.7508
0.1600,0.0000,0.0000,0.8445
0.1650,0.0000,0.0000,1.1475
0.1700,0.0000,0.0000,0.7516
0.1750,0.0000,0.0000,1.1120
0.1800,0.0000,0.0000,1.0560
0.1850,0.0000,0.0000,0.9796
0.1900,0.0000,0.0000,1.0726
0.1950,0.0000,0.0000,1.0813
0.2000,0.0000,0.0000,1.1439
0.2050,0.0000,0.0000,0.9912
0.2100,0.0000,0.0000,0.9482
0.2150,0.0000,0.0000,0.9472
0.2200,0.0000,0.0000,0.9018
0.2250,0.0000,0.0000,1.0152
0.2300,0.0000,0.0000,0.9267
0.2350,0.0000,0.0000,1.1497
0.2400,0.0000,0.0000,0.7975
0.2450,0.0000,0.0000,0.8910
0.2500,0.0000,0.0000,0.9083
0.2550,0.0000,0.0000,0.7720
0.2600,0.0000,0.0000,1.2518
0.2650,0.0000,0.0000,0.7349
0.2700,0.0000,0.0000,0.9904
0.2750,0.0000,0.0000,0.9617
0.2800,0.0000,0.0000,1.2239
0.2850,0.0000,0.0000,0.7873
0.2900,0.0000,0.0000,1.1546
0.2950,0.0000,0.0000,0.9386
0.3000,0.0000,0.0000,1.0082
0.3050,0.0000,0.0000,0.9467
0.3100,0.0000,0.0000,1.1044
0.3150,0.0000,0.0000,0.8915
0.3200,0.0000,0.0000,1.0189
0.3250,0.0000,0.0000,1.0712
0.3300,0.0000,0.0000,1.2500
0.3350,0.0000,0.0000,0.7409
0.3400,0.0000,0.0000,1.2129
0.3450,0.0000,0.0000,1.1440
0.3500,0.0000,0.0000,0.9726
0.3550,0.0000,0.0000,1.0676
0.3600,0.0000,0.0000,0.9755
0.3650,0.0000,0.0000,1.2294
0.3700,0.0000,0.0000,1.0573
0.3750,0.0000,0.0000,1.0066
0.3800,0.0000,0.0000,1.0055
0.3850,0.0000,0.0000,1.0092
0.3900,0.0000,0.0000,1.0123
0.3950,0.0000,0.0000,0.9284
0.4000,0.0000,0.0000,1.2812
0.4050,0.0000,0.0000,0.8053
0.4100,0.0000,0.0000,0.6022
0.4150,0.0000,0.0000,1.0205
0.4200,0.0000,0.0000,1.0180
0.4250,0.0000,0.0000,1.0806
0.4300,0.0000,0.0000,1.0117
0.4350,0.0000,0.0000,1.0188
0.4400,0.0000,0.0000,1.0768
0.4450,0.0000,0.0000,1.1534
0.4500,0.0000,0.0000,0.9837
0.4550,0.0000,0.0000,0.9931
0.4600,0.0000,0.0000,1.2710
0.4650,0.0000,0.0000,1.1020
0.4700,0.0000,0.0000,0.9205
0.4750,0.0000,0.0000,1.3179
0.4800,0.0000,0.0000,1.1324
0.4850,0.0000,0.0000,0.9689
0.4900,0.0000,0.0000,0.8990
0.4950,0.0000,0.0000,1.0760
0.5000,0.0000,0.0000,0.9406
0.5050,0.0000,0.0000,0.9138
0.5100,0.0000,0.0000,0.8855
0.5150,0.0000,0.0000,0.9805
0.5200,0.0000,0.0000,1.1744
0.5250,0.0000,0.0000,0.9898
0.5300,0.0000,0.0000,0.8681
0.5350,0.0000,0.0000,1.1226
0.5400,0.0000,0.0000,1.0504
0.5450,0.0000,0.0000,1.1441
0.5500,0.0000,0.0000,1.1872
0.5550,0.0000,0.0000,1.0230
0.5600,0.0000,0.0000,1.0261
0.5650,0.0000,0.0000,1.0383
0.5700,0.0000,0.0000,0.9078
0.5750,0.0000,0.0000,1.1245
0.5800,0.0000,0.0000,1.2091
0.5850,0.0000,0.0000,1.0655
0.5900,0.0000,0.0000,1.0163
0.5950,0.0000,0.0000,1.0139
0.6000,0.0000,0.0000,0.9516
0.6050,0.0000,0.0000,0.9490
0.6100,0.0000,0.0000,0.9975
0.6150,0.0000,0.0000,0.9448
0.6200,0.0000,0.0000,0.9935
0.6250,0.0000,0.0000,0.8569
0.6300,0.0000,0.0000,1.0884
0.6350,0.0000,0.0000,1.0524
0.6400,0.0000,0.0000,0.9084
0.6450,0.0000,0.0000,0.7711
0.6500,0.0000,0.0000,1.0461
0.6550,0.0000,0.0000,1.1797
0.6600,0.0000,0.0000,0.9593
0.6650,0.0000,0.0000,0.9895
0.6700,0.0000,0.0000,0.9794
0.6750,0.0000,0.0000,1.1262
0.6800,0.0000,0.0000,0.9380
0.6850,0.0000,0.0000,1.1664
0.6900,0.0000,0.0000,1.0118
0.6950,0.0000,0.0000,1.1593
0.7000,0.0000,0.0000,1.0523
0.7050,0.0000,0.0000,1.0208
0.7100,0.0000,0.0000,0.8713
0.7150,0.0000,0.0000,0.9663
0.7200,0.0000,0.0000,1.0175
0.7250,0.0000,0.0000,1.1281
0.7300,0.0000,0.0000,1.0784
0.7350,0.0000,0.0000,0.9655
0.7400,0.0000,0.0000,1.0984
0.7450,0.0000,0.0000,1.1678
0.7500,0.0000,0.0000,1.0316
0.7550,0.0000,0.0000,0.9968
0.7600,0.0000,0.0000,1.0023
0.7650,0.0000,0.0000,1.1469
0.7700,0.0000,0.0000,1.1142
0.7750,0.0000,0.0000,0.9381
0.7800,0.0000,0.0000,1.0947
0.7850,0.0000,0.0000,0.9922
0.7900,0.0000,0.0000,0.9597
0.7950,0.0000,0.0000,1.1986
0.8000,0.0000,0.0000,1.1484
0.8050,0.0000,0.0000,0.9629
0.8100,0.0000,0.0000,1.0595
0.8150,0.0000,0.0000,1.1101
0.8200,0.0000,0.0000,0.9732
0.8250,0.0000,0.0000,1.0355
0.8300,0.0000,0.0000,1.1300
0.8350,0.0000,0.0000,0.8353
0.8400,0.0000,0.0000,1.0893
0.8450,0.0000,0.0000,1.1386
0.8500,0.0000,0.0000,1.1105
0.8550,0.0000,0.0000,0.8890
0.8600,0.0000,0.0000,1.0882
0.8650,0.0000,0.0000,0.9463
0.8700,0.0000,0.0000,1.1183
0.8750,0.0000,0.0000,1.1224
0.8800,0.0000,0.0000,1.0758
0.8850,0.0000,0.0000,0.9579
0.8900,0.0000,0.0000,0.9788
0.8950,0.0000,0.0000,1.1521
0.9000,0.0000,0.0000,0.9418
0.9050,0.0000,0.0000,1.1090
0.9100,0.0000,0.0000,1.1109
0.9150,0.0000,0.0000,1.0160
0.9200,0.0000,0.0000,1.3367
0.9250,0.0000,0.0000,1.0577
0.9300,0.0000,0.0000,1.3067
