n,takeoff_s,airtime_raw_s,airtime_s,height_m,med_a_g,med_w_dps,med_acorr_g,n_air
1,30118.053,0.861,0.887,0.965,0.059,273,0.059,156
2,30120.277,0.871,0.897,0.986,0.181,840,0.181,158
3,30122.609,0.998,1.024,1.285,0.051,336,0.051,183
4,45244.172,0.840,0.866,0.918,0.052,403,0.052,151
5,45245.934,0.844,0.869,0.927,0.066,326,0.066,152
6,45247.891,0.836,0.862,0.910,0.080,572,0.080,151
7,170.663,0.609,0.635,0.494,0.059,529,0.059,105
8,173.902,0.795,0.821,0.826,0.098,319,0.098,143
9,178.303,0.915,0.941,1.085,0.062,224,0.062,167
10,180.958,0.854,0.880,0.950,0.117,275,0.117,155
11,184.623,0.699,0.725,0.644,0.119,351,0.119,124
12,186.588,0.825,0.851,0.888,0.112,268,0.112,149
13,136153.094,1.016,1.041,1.329,0.101,628,0.101,184
14,136164.781,0.891,0.916,1.029,0.070,541,0.070,163
15,136218.031,1.000,1.026,1.290,0.070,383,0.070,182
16,136227.047,1.016,1.041,1.329,0.126,581,0.126,187
17,136238.859,1.094,1.119,1.536,0.059,396,0.059,200
18,136248.156,1.078,1.104,1.494,0.238,795,0.238,197
