t,mag
553.646,1.099
553.666,0.735
553.686,1.087
553.706,1.031
553.726,0.910
553.746,1.079
553.766,1.011
553.786,0.902
553.806,1.079
553.826,1.058
553.846,0.976
553.866,1.076
553.886,0.932
553.906,0.997
553.926,1.045
553.946,0.978
553.966,0.990
553.986,1.030
554.006,0.991
554.026,1.012
554.046,1.010
554.066,1.007
554.086,0.993
554.106,1.010
554.126,0.991
554.146,1.000
554.166,1.024
554.186,0.999
554.206,1.005
554.226,1.001
554.246,1.003
554.266,1.002
554.286,1.004
554.306,1.012
554.326,1.000
554.346,1.037
554.366,1.201
554.386,1.040
554.406,0.920
554.426,1.043
554.446,1.001
554.466,0.991
554.486,1.041
554.506,0.961
554.526,1.007
554.546,1.002
554.566,0.989
554.586,0.992
554.606,1.019
554.626,0.975
554.646,0.983
554.666,1.027
554.686,0.977
554.706,1.029
554.726,1.010
554.746,1.017
554.766,1.014
554.786,1.005
554.806,1.006
554.826,0.990
554.846,0.998
554.866,0.986
554.886,0.997
554.906,0.998
554.926,0.988
554.946,1.011
554.966,1.003
554.986,1.020
555.006,1.011
555.026,1.017
555.046,0.995
555.066,1.011
555.086,0.981
555.106,1.019
555.126,0.990
555.146,0.995
555.166,1.008
555.186,0.982
555.206,1.000
555.226,0.999
555.246,1.019
555.266,1.003
555.286,1.025
555.306,1.012
555.326,0.973
555.346,1.019
555.366,0.974
555.386,1.012
555.406,0.995
555.426,1.002
555.446,1.005
555.466,1.004
555.486,1.008
555.506,1.006
555.526,1.006
555.546,0.998
555.566,0.991
555.586,0.995
555.606,1.004
555.626,1.026
555.646,0.996
555.666,1.030
555.686,0.986
555.706,1.014
555.726,0.979
555.746,1.013
555.766,0.996
555.786,0.979
555.806,1.025
555.826,0.991
555.846,1.020
555.866,1.002
555.886,1.009
555.906,0.998
555.926,0.991
555.946,1.035
555.966,0.976
555.986,1.016
556.006,0.986
556.026,1.008
556.046,1.026
556.066,1.008
556.086,1.024
556.106,1.004
556.126,0.981
556.146,1.000
556.166,0.986
556.186,1.012
556.206,1.007
556.226,1.023
556.246,0.992
556.266,1.011
556.286,0.983
556.306,1.017
556.326,0.993
556.346,0.991
556.366,1.027
556.386,0.985
556.406,1.025
556.426,0.993
556.446,0.994
556.466,1.015
556.486,0.987
556.506,1.025
556.526,0.975
556.546,1.024
556.566,0.991
556.586,1.014
556.606,1.026
556.626,0.975
556.646,1.014
556.666,0.974
556.686,0.997
556.706,1.008
556.726,0.993
556.746,1.024
556.766,1.002
556.786,0.985
556.806,1.010
556.826,0.982
556.846,1.005
556.866,1.012
556.886,1.021
