wallclock_iso,ok,vbat_mv,batt_pct,chg,uptime_s
2026-08-24T19:22:40,1,4091,92,0,2245.98
2026-08-24T19:42:56,1,4079,91,0,3462.622
2026-08-24T20:03:13,1,4056,89,0,4679.713
2026-08-24T20:23:30,1,4044,88,0,5896.416
2026-08-24T20:43:47,1,4035,86,0,7113.298
2026-08-24T21:04:03,1,4026,86,0,8329.971
2026-08-24T21:24:20,0,,,,
2026-08-24T21:44:30,1,4014,83,0,10756.83
2026-08-24T22:04:47,1,4011,82,0,11973.5
2026-08-24T22:25:04,1,4005,82,0,13190.052
2026-08-24T22:45:20,1,4008,82,0,14406.093
2026-08-24T23:05:36,1,4002,80,0,15623.065
2026-08-24T23:25:53,1,4000,80,0,16839.741
2026-08-24T23:46:10,1,3994,78,0,18056.364
2026-08-25T00:06:26,0,,,,
2026-08-25T00:26:37,1,3982,77,0,20482.869
2026-08-25T00:46:53,0,,,,
2026-08-25T01:07:03,0,,,,
2026-08-25T01:27:13,0,,,,
2026-08-25T01:47:24,1,3955,71,0,25330.243
2026-08-25T02:07:40,1,3946,70,0,26548.062
2026-08-25T02:27:58,1,3934,68,0,27764.884
2026-08-25T02:48:15,0,,,,
2026-08-25T03:08:25,1,3931,66,0,30191.538
2026-08-25T03:28:41,0,,,,
2026-08-25T03:48:51,1,3917,64,0,32618.313
2026-08-25T04:09:08,0,,,,
2026-08-25T04:29:18,1,3869,58,0,35044.878
2026-08-25T04:49:34,1,3905,59,0,36260.771
2026-08-25T05:09:50,1,3902,59,0,37476.993
2026-08-25T05:30:07,1,3902,58,0,38694.595
2026-08-25T05:50:24,1,3896,56,0,39911.627
2026-08-25T06:10:41,1,3896,55,0,41128.12
2026-08-25T06:30:58,1,3887,55,0,42344.822
2026-08-25T06:51:14,1,3831,47,0,43561.375
2026-08-25T07:11:31,1,3869,52,0,44777.298
2026-08-25T07:31:47,1,3869,50,0,45994.001
2026-08-25T07:52:03,1,3866,50,0,47209.835
2026-08-25T08:12:19,1,3854,47,0,48430.769
2026-08-25T08:32:40,1,3849,46,0,49647.502
2026-08-25T08:52:57,1,3846,43,0,50864.21
2026-08-25T09:13:13,1,3786,35,0,52081.73
2026-08-25T09:33:31,1,3834,42,0,53298.379
2026-08-25T09:53:48,1,3822,38,0,54517.339
2026-08-25T10:14:06,1,3813,36,0,55733.957
2026-08-25T10:34:23,1,3792,34,0,56950.967
2026-08-25T10:54:40,1,3783,29,0,58167.824
2026-08-25T11:14:57,1,3772,28,0,59383.904
2026-08-25T11:35:13,1,3748,24,0,60600.773
2026-08-25T11:55:30,1,3763,25,0,61817.481
2026-08-25T12:15:46,1,3757,25,0,63034.219
2026-08-25T12:36:03,1,3751,24,0,64251.888
2026-08-25T12:56:21,0,,,,
2026-08-25T13:16:31,1,3739,21,0,66678.555
2026-08-25T13:36:47,1,3733,20,0,67895.234
2026-08-25T13:57:04,1,3733,20,0,69112.782
2026-08-25T14:17:22,0,,,,
2026-08-25T14:37:32,1,3724,17,0,71539.563
2026-08-25T14:57:48,0,,,,
2026-08-25T15:17:59,0,,,,
2026-08-25T15:38:09,1,3703,15,0,75177.069
2026-08-25T15:58:26,1,3700,14,0,76393.893
2026-08-25T16:18:43,1,3692,13,0,77610.624
2026-08-25T16:38:59,1,3692,13,0,78827.416
2026-08-25T16:59:16,1,3677,13,0,80044.088
2026-08-25T17:19:33,1,3671,13,0,81261.931
2026-08-25T17:39:51,0,,,,
2026-08-25T18:00:01,1,3659,12,0,83689.213
2026-08-25T18:20:18,1,3656,11,0,84905.886
2026-08-25T18:40:34,1,3647,11,0,86123.817
2026-08-25T19:00:52,1,3638,10,0,87342.408
2026-08-25T19:21:11,1,3629,10,0,88559.5
2026-08-25T19:41:28,0,,,,
2026-08-25T20:01:38,0,,,,
2026-08-25T20:21:48,0,,,,
2026-08-25T20:41:59,1,3609,8,0,93406.772
2026-08-25T21:02:15,1,3600,8,0,94623.414
2026-08-25T21:22:32,0,,,,
2026-08-25T21:42:42,1,3588,7,0,97051.597
2026-08-25T22:03:00,1,3585,7,0,98267.489
2026-08-25T22:23:16,1,3582,6,0,99484.374
2026-08-25T22:43:33,1,3579,6,0,100702.103
2026-08-25T23:03:50,1,3579,6,0,101918.823
2026-08-25T23:24:07,1,3570,6,0,103135.594
2026-08-25T23:44:24,1,3573,6,0,104352.185
2026-08-26T00:04:40,0,,,,
2026-08-26T00:24:51,1,3564,5,0,106779.096
2026-08-26T00:45:07,1,3564,5,0,107995.716
2026-08-26T01:05:24,0,,,,
2026-08-26T01:25:34,1,3558,5,0,110423.466
2026-08-26T01:45:51,1,3558,5,0,111640.086
2026-08-26T02:06:08,1,3552,5,0,112857.816
2026-08-26T02:26:26,1,3555,5,0,114074.525
2026-08-26T02:46:42,1,3552,5,0,115290.513
2026-08-26T03:06:58,1,3552,5,0,116506.292
2026-08-26T03:27:14,1,3549,5,0,117722.132
2026-08-26T03:47:30,0,,,,
2026-08-26T04:07:40,1,3549,4,0,120148.561
2026-08-26T04:27:56,1,3549,4,0,121365.211
2026-08-26T04:48:13,1,3547,4,0,122582.911
2026-08-26T05:08:31,1,3549,4,0,123798.75
2026-08-26T05:28:46,1,3541,4,0,125015.608
2026-08-26T05:49:03,1,3544,4,0,126231.411
2026-08-26T06:09:19,0,,,,
2026-08-26T06:29:29,1,3541,4,0,128658.093
2026-08-26T06:49:46,1,3538,4,0,129874.104
2026-08-26T07:10:02,1,3535,4,0,131092.784
2026-08-26T07:30:20,1,3532,4,0,132311.762
2026-08-26T07:50:39,1,3538,4,0,133529.393
2026-08-26T08:10:57,1,3529,4,0,134745.193
2026-08-26T08:31:13,1,3523,4,0,135961.953
2026-08-26T08:51:29,1,3529,4,0,137179.644
2026-08-26T09:11:47,1,3520,4,0,138395.685
2026-08-26T09:32:03,1,3520,4,0,139612.234
2026-08-26T09:52:20,1,3520,4,0,140828.696
2026-08-26T10:12:36,1,3520,4,0,142044.588
2026-08-26T10:32:52,1,3520,4,0,143261.348
2026-08-26T10:53:09,1,3517,4,0,144479.108
2026-08-26T11:13:26,1,3511,4,0,145697.821
2026-08-26T11:33:45,1,3511,4,0,146915.541
2026-08-26T11:54:03,1,3508,4,0,148133.172
2026-08-26T12:14:20,1,3505,4,0,149349.273
2026-08-26T12:34:36,1,3502,4,0,150566.129
2026-08-26T12:54:53,1,3502,4,0,151782.659
2026-08-26T13:15:10,1,3490,3,0,153001.44
2026-08-26T13:35:28,1,3493,3,0,154217.55
2026-08-26T13:55:44,1,3487,3,0,155434.197
2026-08-26T14:16:01,1,3487,3,0,156650.906
2026-08-26T14:36:18,1,3481,3,0,157868.034
2026-08-26T14:56:35,1,3481,3,0,159084.563
2026-08-26T15:16:51,1,3475,3,0,160301.243
2026-08-26T15:37:08,1,3473,3,0,161518.613
2026-08-26T15:57:25,1,3470,3,0,162734.482
2026-08-26T16:17:41,1,3464,3,0,163951.103
2026-08-26T16:37:58,1,3461,3,0,165169.912
2026-08-26T16:58:17,1,3455,3,0,166388.451
2026-08-26T17:18:35,1,3458,2,0,167605.159
