part,qty,spec,source_url,notes
Enclosure body,1,"Printed/moulded shell, 54 x 22 x 17 mm outside, 1.2 mm wall, one-piece tube closed at the nose",,"enclosure.scad part=body. MJF PA12 for the prototype - see README 'Print recommendations'. Measured material volume 5.148 cm3."
Enclosure cap,1,"Tail cap with radial O-ring spigot, cored forward",,"enclosure.scad part=cap. Measured material volume 1.643 cm3."
USB-C receptacle,1,"Same Sky UJ31-CH-3-MSMT-TR-67. IP67, mid-mount SMT, 24 contacts, USB 3.2 Gen 2. Panel through-hole 3.00 mm tall; board footprint 12.15 x 9.50 mm on a 0.60 mm PCB.",https://www.sameskydevices.com/product/resource/uj31-ch-3-msmt-tr-67.pdf,"THE connector choice. Carries Dp1/Dn1 and Dp2/Dn2 (datasheet p3 pin table) so USB 2.0 data works in both plug orientations. USD 3.82 @1 / 2.40 @700 (DigiKey 9564430). DO NOT substitute GCT USB4135-GF-A: DigiKey lists it as '24 (6+18 Dummy) - Power Only 6 Pin' - charge only."
Connector seal ring,1,"OR-80 silicone ring, outer 10.05 x 4.25 mm, inner 8.05 x 2.25 mm, section 0.80/0.95 mm",https://www.sameskydevices.com/product/resource/uj31-ch-3-msmt-tr-67.pdf,"Ships in the connector's vacuum packaging (datasheet rev 1.03: 'moved o-rings to be included in vacuum packaging'). Compressed 40-50% by the nose counterbore, per the datasheet's own note."
Connector carrier PCB,1,"0.60 mm FR4, 12.0 x 14.5 mm, 4 wire pads (VBUS, GND, D+, D-)",,"0.60 mm is mandatory - the connector is mid-mount (datasheet p3 'PCB thickness: 0.60 mm'). Not yet drawn; this BOM line is a placeholder for a board that must be laid out."
Cap O-ring,1,"1.5 mm silicone cord, Shore 50-60A, ~67 mm developed length, butt-spliced with CA in the groove",,"Prototype method. For production specify a moulded rounded-rectangle gasket - a spliced cord is a prototype expedient, not a product."
Cap screws,2,"M1.6 x 6, A4 / 316 stainless, pan or cheese head",,"A4 not A2: this is salt water. Retention only - they carry no seal load. They enter aft of the O-ring so no fastener crosses a sealing surface."
Cell,1,"woo22 preset: any LiPo <= 19.0 x 42 x 6.0 mm with PCM. lp502030 preset: LP502030 + PCM, 250 mAh (the one installed).",https://www.lipolbattery.com/LiPo-Battery-Datahseet/LiPo_Battery_LP502030.pdf,"LP502030 measured max 5.3 x 20.5 x 32.0 mm (5.0 +0.3 / 20 +0.5 / 31 +1.0), 'appr. 5.0g'. It does NOT fit a 22 mm shell - see README 'The cell is the blocker'. Do not upsize: 0.02 g of mass per mAh, against a ~1.7 g buoyancy margin."
Silicone port plug,1,"Moulded silicone or printed TPU, captive on a 26 mm lanyard",,"enclosure.scad part=plug. Contamination cover, NOT the seal - the connector is sealed with the plug off, and the bucket test proves it."
Hook-up wire,4,"AWG30 PTFE, ~40 mm each: VBUS, GND, D+, D-",,"D+/D- must be tapped off the XIAO's own USB receptacle pins or its two USB series components - they are on no castellated pad. 0.5 mm pitch; budget the microsoldering."
Cell pad,1,"1.0 mm closed-cell EVA, 20 x 30 mm, adhesive one side",,"Under the CELL only. Never under the board - the IMU must be rigidly coupled (BUILD.md 'realistic failure order')."
Preload pad,1,"1.0 mm silicone sheet, 8 x 12 mm",,"Between the cap rib and the board's aft edge. Compresses to ~0.7 mm and sets the axial preload that squeezes the connector's seal ring."
RTV / silicone adhesive,1,"Neutral-cure RTV, small tube",,"Bead to locate the carrier PCB after the stack is proven, and strain relief on the pigtail (BUILD.md: 'Glue-dot the connector and anchor the wires')."
Tether,1,"2 mm Dyneema loop or 2.5 mm cable tie, seated in the circumferential groove",,"DECISION #9: must float AND be tethered. The groove puts the load into the shell as hoop stress; there is no moulded eye to snap."
Silica gel packet,1,"1 g sachet",,"BUILD.md: hot beach to cold water means condensation fog otherwise. It rides in the free-air void aft of the board."
Sealer (MJF only),1,"Cyanoacrylate impregnation, epoxy wash or vapour smoothing",,"MJF/SLS PA12 is POROUS as printed and will wick. Unsealed it is not a waterproof part. Sealing also adds ~0.2-0.4 g - budget it against the buoyancy margin."
